Meter_Id,Meter_Id(prefix removed),Cleaned_Date,Weekday,Weekday(number),Week_Number,Region_Code,District,Dwelling_Type,Labeled_Dwelling_type,Num_Occupants,House_Area (sqft),Appliance_Score,Appliance_Score_Grouped,Connected_Load(kw),Load_category(labeled),Temperature_C,Temparature_category,Humidity (%),Cleaned_Expected_Energy(kwh),Cleaned_Actual_Energy(kwh),Usage_Deviation(%),Cluster_Avg_Energy(kwh),Abnormal_Usage,Pattern_Usage,,,
IN-KL-ELC-55638606,55638606,1/24/2023,Tuesday,3,4,IN_KL_ERN,Ernakulam,Villa,1,6,463,9,Low,3.28,2,34.36,>30,62.89,16.42,26.70,62.64%,16.28,1,1,,,
IN-KL-ELC-53437589,53437589,1/20/2023,Friday,6,3,IN_KL_ERN,Ernakulam,Apartment,2,3,1834,9,Low,6.80,3,37.35,>30,64.88,16.38,30.34,85.20%,16.61,1,1,,,
IN-KL-ELC-34382899,34382899,1/20/2023,Friday,6,3,IN_KL_ERN,Ernakulam,Apartment,2,6,2268,16,High,6.07,3,29.26,25-30,82.24,19.73,19.40,-1.67%,16.61,0,1,,,
IN-KL-ELC-44469199,44469199,1/23/2023,Monday,2,4,IN_KL_TVM,Thiruvananthapuram,Apartment,2,4,1802,21,High,7.54,3,26.03,25-30,77.38,19.38,19.23,-0.77%,17.26,0,1,,,
IN-KL-ELC-41305805,41305805,1/16/2023,Monday,2,3,IN_KL_TVM,Thiruvananthapuram,Independent House,0,1,845,18,High,4.33,2,28.70,25-30,63.18,16.89,19.47,15.27%,16.89,1,1,,,
IN-KL-ELC-66703411,66703411,1/1/2023,Sunday,1,1,IN_KL_ALP,Alappuzha,Apartment,2,3,888,18,High,2.60,1,34.44,>30,78.58,15.73,17.19,9.28%,16.47,0,0,,,
IN-KL-ELC-15010047,15010047,1/8/2023,Sunday,1,2,IN_KL_ALP,Alappuzha,Apartment,2,5,2769,11,Medium,6.27,3,31.01,>30,45.23,17.51,18.37,4.91%,16.47,0,0,,,
IN-KL-ELC-59571121,59571121,1/14/2023,Saturday,7,2,IN_KL_ALP,Alappuzha,Independent House,0,4,2160,19,High,7.58,3,30.86,>30,54.06,20.19,20.58,1.93%,17.83,0,1,,,
IN-KL-ELC-60241510,60241510,1/6/2023,Friday,6,1,IN_KL_ERN,Ernakulam,Apartment,2,4,1452,9,Low,6.63,3,23.02,<25,50.52,14.08,15.40,9.38%,16.61,0,1,,,
IN-KL-ELC-69429201,69429201,1/9/2023,Monday,2,2,IN_KL_ERN,Ernakulam,Villa,1,2,749,12,Medium,5.97,3,20.52,<25,70.26,12.08,11.87,-1.74%,16.28,0,0,,,
IN-KL-ELC-30440535,30440535,1/20/2023,Friday,6,3,IN_KL_ERN,Ernakulam,Independent House,0,3,2037,10,Low,5.51,3,33.59,>30,49.46,14.89,15.13,1.61%,16.43,0,0,,,
IN-KL-ELC-59571121,59571121,1/5/2023,Thursday,5,1,IN_KL_ALP,Alappuzha,Independent House,0,4,2160,19,High,7.58,3,22.48,<25,66.48,17.69,15.84,-10.46%,17.83,0,0,,,
IN-KL-ELC-69047090,69047090,1/22/2023,Sunday,1,4,IN_KL_TVM,Thiruvananthapuram,Independent House,0,1,2276,6,Low,2.95,1,26.32,25-30,69.41,8.14,7.44,-8.60%,16.89,1,0,,,
IN-KL-ELC-51118982,51118982,1/21/2023,Saturday,7,3,IN_KL_ALP,Alappuzha,Independent House,0,5,2365,21,High,5.35,3,31.72,>30,56.58,20.58,22.89,11.22%,17.83,1,1,,,
IN-KL-ELC-34382899,34382899,1/17/2023,Tuesday,3,3,IN_KL_ERN,Ernakulam,Apartment,2,6,2268,16,High,6.07,3,42.29,>30,73.29,23.63,24.61,4.15%,16.61,1,1,,,
IN-KL-ELC-54025412,54025412,1/8/2023,Sunday,1,2,IN_KL_TVM,Thiruvananthapuram,Villa,1,4,2792,10,Low,6.83,3,30.40,>30,70.41,16.32,16.51,1.16%,16.02,0,0,,,
IN-KL-ELC-56902115,56902115,1/1/2023,Sunday,1,1,IN_KL_TVM,Thiruvananthapuram,Apartment,2,4,2758,21,High,6.70,3,29.08,25-30,84.16,19.70,19.38,-1.62%,17.26,0,1,,,
IN-KL-ELC-52124353,52124353,1/1/2023,Sunday,1,1,IN_KL_ALP,Alappuzha,Apartment,2,6,1775,7,Low,3.98,2,20.65,<25,60.47,13.10,13.59,3.74%,16.47,0,0,,,
IN-KL-ELC-55308456,55308456,1/14/2023,Saturday,7,2,IN_KL_ERN,Ernakulam,Independent House,0,3,1341,8,Low,5.83,3,34.46,>30,51.8,14.59,14.39,-1.37%,16.43,0,0,,,
IN-KL-ELC-90250627,90250627,1/27/2023,Friday,6,4,IN_KL_TVM,Thiruvananthapuram,Independent House,0,4,2147,9,Low,3.54,2,26.91,25-30,78.96,12.78,12.15,-4.93%,16.89,0,1,,,
IN-KL-ELC-85734885,85734885,1/24/2023,Tuesday,3,4,IN_KL_ALP,Alappuzha,Villa,1,3,1233,17,High,7.28,3,29.37,25-30,52.87,17.74,27.29,53.82%,16.26,1,1,,,
IN-KL-ELC-88230909,88230909,1/7/2023,Saturday,7,1,IN_KL_ERN,Ernakulam,Independent House,0,3,2035,15,Medium,5.00,2,29.17,25-30,51.76,15.31,21.80,42.41%,16.43,1,1,,,
IN-KL-ELC-68820657,68820657,1/5/2023,Thursday,5,1,IN_KL_ERN,Ernakulam,Independent House,0,4,833,6,Low,4.72,2,32.13,>30,71.49,13.66,22.78,66.79%,16.43,1,1,,,
IN-KL-ELC-88230909,88230909,1/21/2023,Saturday,7,3,IN_KL_ERN,Ernakulam,Independent House,0,3,2035,15,Medium,5.00,2,27.69,25-30,69.1,14.96,16.20,8.29%,16.43,0,0,,,
IN-KL-ELC-20774414,20774414,1/29/2023,Sunday,1,5,IN_KL_ALP,Alappuzha,Independent House,0,6,1967,18,High,7.83,3,28.99,25-30,49.68,21.64,31.50,45.55%,17.83,1,1,,,
IN-KL-ELC-34382899,34382899,1/16/2023,Monday,2,3,IN_KL_ERN,Ernakulam,Apartment,2,6,2268,16,High,6.07,3,33.31,>30,81.5,20.94,20.23,-3.39%,16.61,0,1,,,
IN-KL-ELC-25533692,25533692,1/5/2023,Thursday,5,1,IN_KL_ALP,Alappuzha,Apartment,2,3,2301,8,Low,3.92,2,23.77,<25,51.33,11.10,11.79,6.22%,16.47,0,0,,,
IN-KL-ELC-26636457,26636457,1/10/2023,Tuesday,3,2,IN_KL_ALP,Alappuzha,Independent House,0,6,1031,21,High,3.02,2,38.20,>30,55.57,21.80,20.94,-3.94%,17.83,0,1,,,
IN-KL-ELC-13197583,13197583,1/29/2023,Sunday,1,5,IN_KL_ERN,Ernakulam,Apartment,2,6,1997,6,Low,4.61,2,27.41,25-30,72.03,14.76,13.21,-10.50%,16.61,0,0,,,
IN-KL-ELC-96877514,96877514,1/26/2023,Thursday,5,4,IN_KL_ALP,Alappuzha,Apartment,2,5,1477,8,Low,3.54,2,35.54,>30,76.18,15.33,0.00,-100.00%,16.47,1,0,,,
IN-KL-ELC-14754038,14754038,1/18/2023,Wednesday,4,3,IN_KL_ALP,Alappuzha,Apartment,2,5,958,21,High,5.95,3,32.16,>30,79.33,21.18,21.31,0.61%,16.47,0,0,,,
IN-KL-ELC-79523894,79523894,1/21/2023,Saturday,7,3,IN_KL_ERN,Ernakulam,Apartment,2,6,1786,21,High,7.85,3,35.86,>30,75.09,25.06,37.17,48.31%,16.61,1,1,,,
IN-KL-ELC-39971016,39971016,1/6/2023,Friday,6,1,IN_KL_ERN,Ernakulam,Independent House,0,6,617,8,Low,5.60,3,29.93,25-30,45.91,16.43,0.00,-100.00%,16.43,1,0,,,
IN-KL-ELC-85075398,85075398,1/30/2023,Monday,2,5,IN_KL_ALP,Alappuzha,Apartment,2,6,845,7,Low,6.52,3,35.80,>30,47.36,18.63,17.51,-6.01%,16.47,0,0,,,
IN-KL-ELC-70933352,70933352,1/14/2023,Saturday,7,2,IN_KL_ALP,Alappuzha,Independent House,0,3,765,11,Medium,5.43,3,30.91,>30,58.6,14.62,14.39,-1.57%,17.83,0,1,,,
IN-KL-ELC-50138855,50138855,1/9/2023,Monday,2,2,IN_KL_ALP,Alappuzha,Apartment,2,2,1651,7,Low,6.12,3,35.62,>30,50.69,13.49,19.64,45.61%,16.47,1,1,,,
IN-KL-ELC-70410608,70410608,1/6/2023,Friday,6,1,IN_KL_TVM,Thiruvananthapuram,Independent House,0,2,2108,18,High,4.47,2,33.57,>30,54.69,15.86,15.92,0.38%,16.89,0,1,,,
IN-KL-ELC-76726031,76726031,1/14/2023,Saturday,7,2,IN_KL_ERN,Ernakulam,Independent House,0,2,849,9,Low,7.27,3,36.25,>30,81.86,15.31,15.72,2.68%,16.43,0,0,,,
IN-KL-ELC-22347643,22347643,1/15/2023,Sunday,1,3,IN_KL_ALP,Alappuzha,Apartment,2,1,2453,15,Medium,6.78,3,23.92,<25,59.44,13.30,13.20,-0.75%,16.47,0,0,,,
IN-KL-ELC-83374719,83374719,1/6/2023,Friday,6,1,IN_KL_TVM,Thiruvananthapuram,Apartment,2,4,1660,21,High,2.97,1,31.36,>30,50.08,17.53,0.00,-100.00%,17.26,1,0,,,
IN-KL-ELC-37303827,37303827,1/6/2023,Friday,6,1,IN_KL_ALP,Alappuzha,Villa,1,3,2059,20,High,6.51,3,25.79,25-30,72.17,17.22,0.00,-100.00%,16.26,1,0,,,
IN-KL-ELC-77021273,77021273,1/25/2023,Wednesday,4,4,IN_KL_TVM,Thiruvananthapuram,Independent House,0,2,2377,14,Medium,7.63,3,32.70,>30,49.55,16.67,16.50,-1.02%,16.89,0,1,,,
IN-KL-ELC-73727430,73727430,1/21/2023,Saturday,7,3,IN_KL_ALP,Alappuzha,Independent House,0,3,2307,18,High,5.22,3,27.25,25-30,51.04,16.02,14.10,-11.99%,17.83,0,0,,,
IN-KL-ELC-77385755,77385755,1/13/2023,Friday,6,2,IN_KL_TVM,Thiruvananthapuram,Apartment,2,4,484,19,High,6.29,3,25.95,25-30,76.1,17.82,18.67,4.77%,17.26,0,1,,,
IN-KL-ELC-55308456,55308456,1/17/2023,Tuesday,3,3,IN_KL_ERN,Ernakulam,Independent House,0,3,1341,8,Low,5.83,3,25.84,25-30,57.21,16.43,13.80,-16.01%,16.43,0,0,,,
IN-KL-ELC-44469199,44469199,1/17/2023,Tuesday,3,3,IN_KL_TVM,Thiruvananthapuram,Apartment,2,4,1802,21,High,7.54,3,34.25,>30,63.38,21.92,39.14,78.56%,17.26,1,1,,,
IN-KL-ELC-36789255,36789255,1/4/2023,Wednesday,4,1,IN_KL_ERN,Ernakulam,Independent House,0,1,1818,15,Medium,3.90,2,36.24,>30,50.48,13.64,15.05,10.34%,16.43,0,0,,,
IN-KL-ELC-88110681,88110681,1/27/2023,Friday,6,4,IN_KL_ERN,Ernakulam,Independent House,0,6,1114,15,Medium,4.17,2,29.32,25-30,60.14,17.99,15.34,-14.73%,16.43,0,0,,,
IN-KL-ELC-76726031,76726031,1/10/2023,Tuesday,3,2,IN_KL_ERN,Ernakulam,Independent House,0,2,849,9,Low,7.27,3,29.16,25-30,66,13.83,19.25,39.16%,16.43,1,1,,,
IN-KL-ELC-61429232,61429232,1/17/2023,Tuesday,3,3,IN_KL_ERN,Ernakulam,Apartment,2,2,2530,18,High,6.57,3,25.63,25-30,58.38,15.54,0.00,-100.00%,16.61,1,0,,,
IN-KL-ELC-65873763,65873763,1/30/2023,Monday,2,5,IN_KL_ERN,Ernakulam,Apartment,2,3,513,9,Low,5.83,3,28.07,25-30,60.7,13.62,13.94,2.35%,16.61,0,1,,,
IN-KL-ELC-12266547,12266547,1/8/2023,Sunday,1,2,IN_KL_ERN,Ernakulam,Apartment,2,6,840,13,Medium,6.13,3,28.12,25-30,58.11,18.41,20.81,13.04%,16.61,0,1,,,
IN-KL-ELC-29058334,29058334,1/27/2023,Friday,6,4,IN_KL_ERN,Ernakulam,Independent House,0,2,816,17,High,5.71,3,27.99,25-30,64.67,15.16,25.94,71.11%,16.43,1,1,,,
IN-KL-ELC-22212203,22212203,1/11/2023,Wednesday,4,2,IN_KL_ERN,Ernakulam,Villa,1,5,2190,11,Medium,7.23,3,28.19,25-30,74.56,16.28,28.28,73.72%,16.28,1,1,,,
IN-KL-ELC-93680367,93680367,1/20/2023,Friday,6,3,IN_KL_TVM,Thiruvananthapuram,Villa,1,6,962,6,Low,5.24,3,30.37,>30,67,15.92,17.47,9.74%,16.02,0,0,,,
IN-KL-ELC-85195758,85195758,1/11/2023,Wednesday,4,2,IN_KL_TVM,Thiruvananthapuram,Apartment,2,2,1932,21,High,6.24,3,31.79,>30,72.63,17.90,24.80,38.57%,17.26,1,1,,,
IN-KL-ELC-18798620,18798620,1/8/2023,Sunday,1,2,IN_KL_ERN,Ernakulam,Apartment,2,2,2704,7,Low,5.32,3,34.87,>30,64.74,12.71,13.13,3.30%,16.61,0,1,,,
IN-KL-ELC-24569037,24569037,1/16/2023,Monday,2,3,IN_KL_ERN,Ernakulam,Villa,1,4,1470,6,Low,6.43,3,33.59,>30,71.73,15.30,21.97,43.62%,16.28,1,1,,,
IN-KL-ELC-19637600,19637600,1/14/2023,Saturday,7,2,IN_KL_TVM,Thiruvananthapuram,Villa,1,4,1833,10,Low,6.97,3,34.46,>30,49.07,17.42,19.39,11.31%,16.02,0,0,,,
IN-KL-ELC-62444510,62444510,1/9/2023,Monday,2,2,IN_KL_TVM,Thiruvananthapuram,Apartment,2,5,2590,13,Medium,4.06,2,27.67,25-30,75.38,15.73,21.56,37.03%,17.26,1,1,,,
IN-KL-ELC-91609437,91609437,1/29/2023,Sunday,1,5,IN_KL_TVM,Thiruvananthapuram,Apartment,2,6,1529,6,Low,3.62,2,31.00,>30,58.87,14.83,16.23,9.44%,17.26,0,1,,,
IN-KL-ELC-42410429,42410429,1/2/2023,Monday,2,1,IN_KL_ERN,Ernakulam,Apartment,2,4,2455,7,Low,2.57,1,32.48,>30,53.97,12.42,12.56,1.13%,16.61,0,1,,,
IN-KL-ELC-85575226,85575226,1/18/2023,Wednesday,4,3,IN_KL_ERN,Ernakulam,Villa,1,1,1959,10,Low,6.86,3,36.13,>30,73.2,14.14,14.66,3.68%,16.28,0,0,,,
IN-KL-ELC-41305805,41305805,1/11/2023,Wednesday,4,2,IN_KL_TVM,Thiruvananthapuram,Independent House,0,1,845,18,High,4.33,2,25.31,25-30,79.03,12.87,11.78,-8.47%,16.89,1,0,,,
IN-KL-ELC-93537360,93537360,1/24/2023,Tuesday,3,4,IN_KL_TVM,Thiruvananthapuram,Apartment,2,4,2131,20,High,4.92,2,27.08,25-30,77.76,17.49,16.44,-6.00%,17.26,0,0,,,
IN-KL-ELC-36954958,36954958,1/11/2023,Wednesday,4,2,IN_KL_ALP,Alappuzha,Villa,1,2,1580,8,Low,4.81,2,26.29,25-30,77.28,11.15,12.74,14.26%,16.26,0,0,,,
IN-KL-ELC-77021273,77021273,1/4/2023,Wednesday,4,1,IN_KL_TVM,Thiruvananthapuram,Independent House,0,2,2377,14,Medium,7.63,3,28.29,25-30,58.89,15.61,23.47,50.34%,16.89,1,1,,,
IN-KL-ELC-27671813,27671813,1/14/2023,Saturday,7,2,IN_KL_TVM,Thiruvananthapuram,Independent House,0,1,2623,6,Low,3.37,2,39.14,>30,47.03,10.15,16.41,61.71%,16.89,1,1,,,
IN-KL-ELC-66004831,66004831,1/14/2023,Saturday,7,2,IN_KL_ERN,Ernakulam,Apartment,2,6,1904,15,Medium,4.44,2,36.85,>30,68.79,20.27,19.35,-4.54%,16.61,0,1,,,
IN-KL-ELC-31690538,31690538,1/25/2023,Wednesday,4,4,IN_KL_TVM,Thiruvananthapuram,Apartment,2,4,1785,20,High,7.86,3,27.01,25-30,50.31,19.58,19.40,-0.92%,17.26,0,1,,,
IN-KL-ELC-97733707,97733707,1/15/2023,Sunday,1,3,IN_KL_ALP,Alappuzha,Apartment,2,3,2652,20,High,5.31,3,26.67,25-30,48.13,16.61,15.61,-6.02%,16.47,0,0,,,
IN-KL-ELC-25353404,25353404,1/6/2023,Friday,6,1,IN_KL_TVM,Thiruvananthapuram,Independent House,0,1,922,12,Medium,5.88,3,27.58,25-30,78.19,12.44,13.77,10.69%,16.89,0,1,,,
IN-KL-ELC-97400511,97400511,1/1/2023,Sunday,1,1,IN_KL_TVM,Thiruvananthapuram,Independent House,0,2,2458,6,Low,7.21,3,28.76,25-30,63.57,12.67,12.36,-2.45%,16.89,0,1,,,
IN-KL-ELC-68910616,68910616,1/19/2023,Thursday,5,3,IN_KL_ERN,Ernakulam,Independent House,0,6,2161,14,Medium,3.39,2,32.20,>30,81.63,17.81,0.00,-100.00%,16.43,1,0,,,
IN-KL-ELC-34699748,34699748,1/17/2023,Tuesday,3,3,IN_KL_ERN,Ernakulam,Independent House,0,1,2168,13,Medium,4.28,2,24.19,<25,60.96,11.01,12.36,12.27%,16.43,0,0,,,
IN-KL-ELC-85195758,85195758,1/6/2023,Friday,6,1,IN_KL_TVM,Thiruvananthapuram,Apartment,2,2,1932,21,High,6.24,3,35.32,>30,51.17,18.82,34.32,82.33%,17.26,1,1,,,
IN-KL-ELC-72588770,72588770,1/25/2023,Wednesday,4,4,IN_KL_ALP,Alappuzha,Independent House,0,6,460,7,Low,5.20,3,26.91,25-30,57.35,15.40,23.53,52.77%,17.83,1,1,,,
IN-KL-ELC-72267329,72267329,1/7/2023,Saturday,7,1,IN_KL_ERN,Ernakulam,Villa,1,2,1438,13,Medium,4.71,2,33.06,>30,65.64,14.10,14.49,2.77%,16.28,0,0,,,
IN-KL-ELC-60604864,60604864,1/2/2023,Monday,2,1,IN_KL_ERN,Ernakulam,Villa,1,4,2704,21,High,2.64,1,28.37,25-30,55.74,16.52,16.11,-2.48%,16.28,0,0,,,
IN-KL-ELC-15010047,15010047,1/30/2023,Monday,2,5,IN_KL_ALP,Alappuzha,Apartment,2,5,2769,11,Medium,6.27,3,29.51,25-30,82.5,17.13,24.15,40.95%,16.47,1,1,,,
IN-KL-ELC-84064269,84064269,1/22/2023,Sunday,1,4,IN_KL_ERN,Ernakulam,Independent House,0,3,2423,10,Low,2.56,1,34.26,>30,53.86,12.68,18.02,42.10%,16.43,1,1,,,
IN-KL-ELC-27671813,27671813,1/22/2023,Sunday,1,4,IN_KL_TVM,Thiruvananthapuram,Independent House,0,1,2623,6,Low,3.37,2,29.95,25-30,76.51,8.92,12.75,42.91%,16.89,1,1,,,
IN-KL-ELC-76999375,76999375,1/8/2023,Sunday,1,2,IN_KL_ERN,Ernakulam,Villa,1,2,574,16,High,4.06,2,27.59,25-30,84.33,13.54,12.89,-4.80%,16.28,0,0,,,
IN-KL-ELC-83561788,83561788,1/25/2023,Wednesday,4,4,IN_KL_TVM,Thiruvananthapuram,Apartment,2,3,2229,16,High,7.43,3,17.45,<25,76.7,14.35,13.48,-6.06%,17.26,0,0,,,
IN-KL-ELC-42432840,42432840,1/24/2023,Tuesday,3,4,IN_KL_ERN,Ernakulam,Independent House,0,6,588,11,Medium,2.94,1,23.65,<25,84.16,14.34,15.60,8.79%,16.43,0,0,,,
IN-KL-ELC-49701826,49701826,1/15/2023,Sunday,1,3,IN_KL_ALP,Alappuzha,Independent House,0,6,2722,8,Low,3.13,2,26.92,25-30,70,17.83,19.88,11.49%,17.83,1,1,,,
IN-KL-ELC-45560016,45560016,1/26/2023,Thursday,5,4,IN_KL_ERN,Ernakulam,Apartment,2,5,2466,15,Medium,2.99,1,31.22,>30,58.07,16.49,16.80,1.88%,16.61,0,1,,,
IN-KL-ELC-19440794,19440794,1/1/2023,Sunday,1,1,IN_KL_ALP,Alappuzha,Independent House,0,2,1172,14,Medium,7.09,3,22.78,<25,79.89,13.93,13.31,-4.45%,17.83,0,1,,,
IN-KL-ELC-83374719,83374719,1/15/2023,Sunday,1,3,IN_KL_TVM,Thiruvananthapuram,Apartment,2,4,1660,21,High,2.97,1,33.60,>30,48.5,18.10,26.03,43.83%,17.26,1,1,,,
IN-KL-ELC-71807372,71807372,1/15/2023,Sunday,1,3,IN_KL_ALP,Alappuzha,Apartment,2,6,1129,11,Medium,5.78,3,28.75,25-30,75.15,17.65,19.45,10.20%,16.47,0,0,,,
IN-KL-ELC-68639880,68639880,1/8/2023,Sunday,1,2,IN_KL_TVM,Thiruvananthapuram,Independent House,0,4,1871,17,High,6.97,3,31.69,>30,82.74,19.25,22.03,14.44%,16.89,1,1,,,
IN-KL-ELC-83561788,83561788,1/26/2023,Thursday,5,4,IN_KL_TVM,Thiruvananthapuram,Apartment,2,3,2229,16,High,7.43,3,33.06,>30,53.69,18.48,17.00,-8.01%,17.26,0,0,,,
IN-KL-ELC-62444510,62444510,1/14/2023,Saturday,7,2,IN_KL_TVM,Thiruvananthapuram,Apartment,2,5,2590,13,Medium,4.06,2,26.97,25-30,75.64,15.55,15.56,0.06%,17.26,0,1,,,
IN-KL-ELC-74974591,74974591,1/24/2023,Tuesday,3,4,IN_KL_ERN,Ernakulam,Apartment,2,6,1762,6,Low,7.17,3,22.08,<25,79.85,15.22,16.41,7.82%,16.61,0,1,,,
IN-KL-ELC-34642880,34642880,1/14/2023,Saturday,7,2,IN_KL_ALP,Alappuzha,Independent House,0,4,701,18,High,6.73,3,29.02,25-30,83.6,18.67,16.85,-9.75%,17.83,0,0,,,
IN-KL-ELC-96449063,96449063,1/27/2023,Friday,6,4,IN_KL_TVM,Thiruvananthapuram,Apartment,2,6,1218,20,High,5.20,3,28.53,25-30,53.91,20.24,21.17,4.59%,17.26,0,1,,,
IN-KL-ELC-90825900,90825900,1/18/2023,Wednesday,4,3,IN_KL_ALP,Alappuzha,Independent House,0,3,2379,14,Medium,4.54,2,23.77,<25,84.71,13.42,12.14,-9.54%,17.83,1,0,,,
IN-KL-ELC-85446912,85446912,1/11/2023,Wednesday,4,2,IN_KL_TVM,Thiruvananthapuram,Apartment,2,6,1812,6,Low,6.76,3,29.37,25-30,84.5,16.81,14.85,-11.66%,17.26,0,0,,,
IN-KL-ELC-28113115,28113115,1/17/2023,Tuesday,3,3,IN_KL_ALP,Alappuzha,Independent House,0,3,2295,9,Low,7.98,3,23.28,<25,78.42,14.06,21.03,49.57%,17.83,1,1,,,
IN-KL-ELC-61826522,61826522,1/12/2023,Thursday,5,2,IN_KL_ALP,Alappuzha,Independent House,0,1,1393,21,High,6.70,3,32.52,>30,62.93,17.30,17.54,1.39%,17.83,0,1,,,
IN-KL-ELC-11739503,11739503,1/22/2023,Sunday,1,4,IN_KL_ERN,Ernakulam,Apartment,2,2,866,21,High,6.44,3,31.96,>30,81.95,18.10,18.68,3.20%,16.61,0,1,,,
IN-KL-ELC-16397499,16397499,1/1/2023,Sunday,1,1,IN_KL_ERN,Ernakulam,Apartment,2,2,2166,13,Medium,3.80,2,25.51,25-30,65.57,16.61,11.90,-28.36%,16.61,0,0,,,
IN-KL-ELC-21573061,21573061,1/26/2023,Thursday,5,4,IN_KL_ERN,Ernakulam,Independent House,0,1,2578,6,Low,5.15,3,30.14,>30,67.04,10.28,8.47,-17.61%,16.43,1,0,,,
IN-KL-ELC-55029458,55029458,1/28/2023,Saturday,7,4,IN_KL_ALP,Alappuzha,Apartment,2,1,2364,16,High,7.53,3,25.29,25-30,80.77,14.45,19.54,35.22%,16.47,1,1,,,
IN-KL-ELC-85575226,85575226,1/21/2023,Saturday,7,3,IN_KL_ERN,Ernakulam,Villa,1,1,1959,10,Low,6.86,3,26.36,25-30,45.16,12.24,0.00,-100.00%,16.28,1,0,,,
IN-KL-ELC-24983334,24983334,1/8/2023,Sunday,1,2,IN_KL_ERN,Ernakulam,Apartment,2,2,1521,21,High,4.83,2,24.86,<25,51.55,15.11,15.52,2.71%,16.61,0,1,,,
IN-KL-ELC-83946125,83946125,1/20/2023,Friday,6,3,IN_KL_ERN,Ernakulam,Apartment,2,5,1001,17,High,2.84,1,31.66,>30,55.33,17.20,16.69,-2.97%,16.61,0,1,,,
IN-KL-ELC-69080674,69080674,1/22/2023,Sunday,1,4,IN_KL_ALP,Alappuzha,Independent House,0,6,2795,9,Low,2.87,1,29.64,25-30,60.48,15.02,17.26,14.91%,17.83,0,1,,,
IN-KL-ELC-54399325,54399325,1/2/2023,Monday,2,1,IN_KL_ERN,Ernakulam,Independent House,0,3,906,7,Low,7.79,3,27.79,25-30,82.61,14.30,14.98,4.76%,16.43,0,0,,,
IN-KL-ELC-11819825,11819825,1/21/2023,Saturday,7,3,IN_KL_ERN,Ernakulam,Apartment,2,4,605,13,Medium,7.36,3,34.46,>30,61.09,18.85,18.36,-2.60%,16.61,0,1,,,
IN-KL-ELC-68910616,68910616,1/22/2023,Sunday,1,4,IN_KL_ERN,Ernakulam,Independent House,0,6,2161,14,Medium,3.39,2,27.03,25-30,45.71,16.47,15.63,-5.10%,16.43,0,0,,,
IN-KL-ELC-13710935,13710935,1/5/2023,Thursday,5,1,IN_KL_ALP,Alappuzha,Villa,1,1,2140,8,Low,4.46,2,33.48,>30,63.65,16.26,10.04,-38.25%,16.26,1,0,,,
IN-KL-ELC-84084868,84084868,1/5/2023,Thursday,5,1,IN_KL_ERN,Ernakulam,Independent House,0,4,1638,19,High,7.45,3,36.91,>30,45.61,21.89,32.64,49.12%,16.43,1,1,,,
IN-KL-ELC-18798620,18798620,1/16/2023,Monday,2,3,IN_KL_ERN,Ernakulam,Apartment,2,2,2704,7,Low,5.32,3,24.28,<25,63.63,10.82,15.60,44.22%,16.61,1,1,,,
IN-KL-ELC-99631077,99631077,1/1/2023,Sunday,1,1,IN_KL_ALP,Alappuzha,Apartment,2,4,1597,14,Medium,7.89,3,30.23,>30,65.41,18.48,0.00,-100.00%,16.47,1,0,,,
IN-KL-ELC-61826522,61826522,1/26/2023,Thursday,5,4,IN_KL_ALP,Alappuzha,Independent House,0,1,1393,21,High,6.70,3,32.13,>30,48.87,17.21,17.04,-0.99%,17.83,0,1,,,
IN-KL-ELC-55367153,55367153,1/24/2023,Tuesday,3,4,IN_KL_TVM,Thiruvananthapuram,Independent House,0,1,490,12,Medium,6.27,3,28.15,25-30,46.44,16.89,13.10,-22.44%,16.89,0,0,,,
IN-KL-ELC-14754038,14754038,1/11/2023,Wednesday,4,2,IN_KL_ALP,Alappuzha,Apartment,2,5,958,21,High,5.95,3,21.81,<25,74.47,17.99,27.17,51.02%,16.47,1,1,,,
IN-KL-ELC-91812452,91812452,1/4/2023,Wednesday,4,1,IN_KL_ALP,Alappuzha,Apartment,2,1,1952,10,Low,4.27,2,30.60,>30,60.33,11.10,10.96,-1.26%,16.47,1,0,,,
IN-KL-ELC-95979298,95979298,1/26/2023,Thursday,5,4,IN_KL_ERN,Ernakulam,Villa,1,3,511,12,Medium,2.95,1,31.57,>30,71.56,13.22,13.25,0.23%,16.28,0,0,,,
IN-KL-ELC-93959968,93959968,1/13/2023,Friday,6,2,IN_KL_TVM,Thiruvananthapuram,Independent House,0,6,2044,21,High,3.70,2,35.89,>30,60.45,21.68,32.82,51.40%,16.89,1,1,,,
IN-KL-ELC-73453717,73453717,1/23/2023,Monday,2,4,IN_KL_ALP,Alappuzha,Villa,1,6,694,19,High,6.97,3,30.09,>30,69.15,16.26,22.63,39.18%,16.26,1,1,,,
IN-KL-ELC-34712069,34712069,1/24/2023,Tuesday,3,4,IN_KL_ALP,Alappuzha,Apartment,2,4,2523,21,High,2.53,1,31.04,>30,72.79,17.11,16.36,-4.38%,16.47,0,0,,,
IN-KL-ELC-26306854,26306854,1/27/2023,Friday,6,4,IN_KL_ALP,Alappuzha,Independent House,0,5,2616,11,Medium,7.08,3,21.15,<25,72.32,15.49,16.80,8.46%,17.83,0,1,,,
